1038246	
1038247	
1038248	
1038249	
1038250	
1038251	
1038252	
1038253	
1038254	
1038255	
1038256	
1038257	
1038258	
1038259	
1038260	
1038261	
1038262	
1038263	
1038264	
1038265	
1038266	
1038267	
1038268	
1038269	
1038270	
1038271	
1038272	
1038273	
1038274	
1038275	
1038276	
1038277	
1038278	
1038279	
1038280	
1038281	
1038282	
1038283	
1038284	
1038286	
1038287	
1038288	
1038289	
1038290	
1038291	
1038292	
1038293	
1038294	
1038295	
1038296	
1038297	
1038298	
1038299	
1038300	
1038301	
1038302	
1038303	
1038304	
1038305	
1038306	
1038307	
1038308	
1038309	
1038310	
1038311	
1038313	
1038314	
1038315	
1038317	
1038319	
1038320	
1038321	
1038322	
1038323	
1038324	
1038325	
1038326	
1038327	
1038328	
1038329	
1038330	
1038337	
1038338	
1038339	
1038341	
1038342	
1038343	
1038344	
1038345	
1038346	
1038347	
1038348	
1038350	
1038351	
1038352	
1038353	
1038354	
1038355	
1038358	
1038359	
1038360	
1038361	
1038362	
1038363	
1038364	
1038365	
1038366	
1038367	
1038368	
1038369	
1038370	
1038371	
1038372	
1038374	
1038376	
1038377	
1038378	
1038380	
1038381	
1038382	
1038385	
1038387	
1038388	
1038389	
1038390	
1038391	
1038392	
1038393	
1038394	
1038395	
1038396	
1038397	
1038398	
10383	Saimiri sciureus (Common squirrel monkey) [9521]
10385	Panthera leo (Lion) [9689]; Felis catus (Cat) (Felis silvestris catus) [9685]; Bos taurus (Bovine) [9913]
10386	Gallus gallus (Chicken) [9031]
103881	
10389	Gallus gallus (Chicken) [9031]
103900	Hordeum vulgare (Barley) [4513]
103902	Homo sapiens (Human) [9606]
103903	Homo sapiens (Human) [9606]
103904	Homo sapiens (Human) [9606]
103905	Homo sapiens (Human) [9606]
103906	Homo sapiens (Human) [9606]
103907	Homo sapiens (Human) [9606]
103908	Homo sapiens (Human) [9606]
103909	Homo sapiens (Human) [9606]
10390	Gallus gallus [9031]
103911	Homo sapiens (Human) [9606]; Macaca (macaques) [9539]
103913	Homo sapiens (Human) [9606]
103914	Homo sapiens (Human) [9606]
103915	Homo sapiens (Human) [9606]
103922	Homo sapiens (Human) [9606]
103926	Cassia [53851]; Arachis hypogaea (Peanut) [3818]; Stylosanthes [35627]; Pisum sativum (Garden pea) [3888]; Phaseolus vulgaris (Kidney bean) (French bean) [3885]; Glycine max (Soybean) (Glycine hispida) [3847]; Arachis pintoi [108216]
103927	Prunus glandulosa [105665]; Prunus cerasifera (cherry plum) [36595]; Prunus domestica (Garden plum) [3758]; Prunus persica (Peach) (Amygdalus persica) [3760]; Prunus salicina [88123]; Prunus spinosa (Blackthorn) (Prunus domestica var. spinosa) [114937]; Prunus armeniaca (Apricot) (Armeniaca vulgaris) [36596]
103929	Homo sapiens (Human) [9606]; Mammalia (mammals) [40674]
103930	Macaca mulatta (Rhesus macaque) [9544]
103931	Glycine max (Soybean) (Glycine hispida) [3847]
10397	Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri) [37347]
10398	Ovis aries [9940]
10401	
10401	Ictalurus punctatus [7998]
10406	Spermophilus (old world ground squirrels) [9996]
10407	Pan troglodytes (Chimpanzee) [9598]; Homo sapiens (Human) [9606]
10408	
10409	Homo sapiens (Human) [9606]; Pan troglodytes (Chimpanzee) [9598]
1041059	
1041062	
1041063	
1041065	
1041068	
1041072	
1041075	
1041077	
1041081	
1041085	
1041088	
10410	Pan troglodytes (Chimpanzee) [9598]; Homo sapiens (Human) [9606]
10411	Homo sapiens (Human) [9606]; Pan troglodytes (Chimpanzee) [9598]
10412	Homo sapiens (Human) [9606]; Pan troglodytes (Chimpanzee) [9598]
1041366	
10413	Homo sapiens (Human) [9606]; Pan troglodytes (Chimpanzee) [9598]
1041406	
10414	Pan troglodytes (Chimpanzee) [9598]
1041524	Escherichia [561]
1041526	Staphylococcus [1279]
1041527	Staphylococcus [1279]
10415	Pan troglodytes (Chimpanzee) [9598]; Homo sapiens (Human) [9606]
1041806	Apis mellifera [7460]
1041807	
1041808	Mycobacterium [1763]
1041831	Apis mellifera [7460]
1041883	Aphis fabae [191316]
1041929	
1042122	Clostridium perfringens [1502]
1042123	Clostridium perfringens [1502]
1042124	Clostridium [1485]
10421	Homo sapiens (Human) [9606]
1042211	
1042212	
1042213	
1042214	
1042215	
1042216	
10422	Homo sapiens (Human) [9606]
10423	Homo sapiens (Human) [9606]
10424	Homo sapiens (Human) [9606]
1042554	
1042555	
1042556	
1042557	
1042560	
1042561	
1042562	
1042563	
1042564	
1042565	
1042566	
1042567	
1042568	
1042569	
1042570	
1042571	
1042572	
1042573	
1042574	
1042575	
1042576	
1042577	
1042578	
1042579	
1042582	
1042583	
1042584	
1042585	
1042587	
1042588	
1042589	
1042590	
1042591	
1042592	
1042593	
1042594	
1042595	
1042596	
1042597	
1042598	
1042599	
10425	Homo sapiens (Human) [9606]
1042600	
1042601	
1042602	
1042603	
1042604	
1042605	
1042606	
1042607	
1042608	
104263	
10426	Homo sapiens (Human) [9606]
10427	Homo sapiens (Human) [9606]
10428	Homo sapiens (Human) [9606]
10430	Marmota monax (Woodchuck) [9995]
1043184	
10431	Marmota monax (Woodchuck) [9995]
1043214	
1043215	
10432	Marmota monax (Woodchuck) [9995]
10433	Marmota monax (Woodchuck) [9995]
104388	
104389	
104390	
104392	
104393	
10439	Anas (ducks) [8835]
10440	Anas (ducks) [8835]
10449	Lepidoptera (butterflies and moths) [7088]
10454	
10455	Lepidoptera (butterflies and moths) [7088]
10456	Lepidoptera (butterflies and moths) [7088]
1045778	Helicoverpa armigera [29058]
104580	
104581	
1046049	
1046081	Oryctes rhinoceros (Coconut rhinoceros beetle) [72550]
1046251	
104637	
1046402	
1046403	
10464	Agrotis segetum (Turnip moth) [47767]
1046571	
1046572	
1046573	
1046574	
104664	
1047181	
10480	Thermoproteus tenax [2271]
1048207	Escherichia [561]
1048243	
1048363	
1048365	
1048366	
1048367	
1048369	
1048371	
1048373	
1048375	
1048376	
1048377	
1048378	
1048434	
1048437	
1048536	
1048668	
1048671	
1048849	
1048854	
1048855	
1048856	
1048857	
1049224	
1049283	Acinetobacter [469]
10493	Lithobates pipiens (Northern leopard frog) (Rana pipiens) [8404]
1049487	
1049488	
1049489	
1049490	
1049491	
1049492	
1049493	
1049494	
1049495	
1049496	
1049497	
1049498	
1049499	
1049500	
1049501	
1049502	
1049503	
1049504	
1049505	
1049507	
1049508	
1049509	
1049510	
1049511	
1049512	
1049513	
1049514	
1049515	
1049516	
1049517	
1049519	
1049520	
1049521	
1049522	
1049523	
1049524	
1049525	
1049526	
1049527	
1049529	
1049530	
1049531	
1049532	
1049533	
1049534	
1049535	
1049536	
1049537	
1049538	
1049539	
1049540	
1049541	
1049542	
1049543	
1049544	
1049556	
1049559	
1049603	
1049604	
1049605	
1049606	
1049716	
1049717	
1049718	
1049719	
10497	Sus scrofa (Pig) [9823]; Ornithodoros moubata (Soft tick) (Argasid tick) [6938]; Phacochoerus africanus (Warthog) [41426]
10498	Sus scrofa (Pig) [9823]; Ornithodoros (relapsing fever ticks) [6937]
10500	Ornithodoros (relapsing fever ticks) [6937]; Phacochoerus africanus (Warthog) [41426]; Potamochoerus larvatus (Bushpig) [273792]; Phacochoerus aethiopicus (Warthog) [85517]; Sus scrofa (Pig) [9823]
1050407	
10506	Chlorella [114055]
1050899	
1050933	
1050934	
1050935	
1050936	
1050937	
1050938	
1050939	
1050940	
1050941	
1050942	
1050943	
1050944	
1050945	
1050946	
1050947	
1050948	
1050949	
1050950	
1050951	
1050952	
1050953	
1050954	
1050955	
1050956	
1050957	
1050958	
1050959	
1050960	
1050961	
10510	Bos taurus (Bovine) [9913]
1051138	
1051140	
1051143	
10512	
1051323	
10514	Canis lupus familiaris (Dog) (Canis familiaris) [9615]
105154	Chlamydia psittaci [83554]
10515	Homo sapiens (Human) [9606]
1051631	Streptococcus salivarius 57.I [1046629]
1051647	
1051648	
1051673	Erwinia amylovora [552]
1051674	Erwinia [551]
1051675	Erwinia amylovora [552]
1051676	Erwinia amylovora [552]
1051792	
1051966	
10519	Homo sapiens (Human) [9606]
10521	
1052121	
1052157	
1052158	
1052264	
1052266	
1052267	
1052268	
1052269	
1052270	
1052271	
1052272	
1052273	
1052274	
1052275	
1052276	
1052277	
1052278	
1052279	
1052280	
1052281	
1052282	
1052283	
1052284	
1052285	
1052286	
1052287	
1052288	
1052289	
1052290	
1052291	
1052292	
1052293	
1052294	
1052295	
1052296	
1052297	
1052298	
1052299	
10522	Homo sapiens (Human) [9606]
1052300	
1052301	
1052302	
1052303	
1052304	
1052305	
1052306	
1052308	
1052309	
1052310	
1052311	
1052312	
1052313	
1052314	
1052315	
1052316	
1052317	
